@HostsX DoNotTracking&Statistics
0.0.0.0 a167.cnzz.com
0.0.0.0 a168.cnzz.com
0.0.0.0 a169.cnzz.com
0.0.0.0 a31.cnzz.com
0.0.0.0 aas.cnzz.com
0.0.0.0 aas2.cnzz.com
0.0.0.0 allowip.cnzz.com
0.0.0.0 b10.cnzz.com
0.0.0.0 b11.cnzz.com
0.0.0.0 b15.cnzz.com
0.0.0.0 b159.cnzz.com
0.0.0.0 b168.cnzz.com
0.0.0.0 b169.cnzz.com
0.0.0.0 b175.cnzz.com
0.0.0.0 b176.cnzz.com
0.0.0.0 b177.cnzz.com
0.0.0.0 b178.cnzz.com
0.0.0.0 b179.cnzz.com
0.0.0.0 b23.cnzz.com
0.0.0.0 b24.cnzz.com
0.0.0.0 b25.cnzz.com
0.0.0.0 b31.cnzz.com
0.0.0.0 b47.cnzz.com
0.0.0.0 b59.cnzz.com
0.0.0.0 b6.cnzz.com
0.0.0.0 b61.cnzz.com
0.0.0.0 b64.cnzz.com
0.0.0.0 b65.cnzz.com
0.0.0.0 b66.cnzz.com
0.0.0.0 b67.cnzz.com
0.0.0.0 b68.cnzz.com
0.0.0.0 b69.cnzz.com
0.0.0.0 b7.cnzz.com
0.0.0.0 b70.cnzz.com
0.0.0.0 b71.cnzz.com
0.0.0.0 b72.cnzz.com
0.0.0.0 b73.cnzz.com
0.0.0.0 b74.cnzz.com
0.0.0.0 b75.cnzz.com
0.0.0.0 b76.cnzz.com
0.0.0.0 b77.cnzz.com
0.0.0.0 b78.cnzz.com
0.0.0.0 b79.cnzz.com
0.0.0.0 b80.cnzz.com
0.0.0.0 b81.cnzz.com
0.0.0.0 b82.cnzz.com
0.0.0.0 b83.cnzz.com
0.0.0.0 b84.cnzz.com
0.0.0.0 b85.cnzz.com
0.0.0.0 b86.cnzz.com
0.0.0.0 b87.cnzz.com
0.0.0.0 b88.cnzz.com
0.0.0.0 b89.cnzz.com
0.0.0.0 b9.cnzz.com
0.0.0.0 b90.cnzz.com
0.0.0.0 b91.cnzz.com
0.0.0.0 b92.cnzz.com
0.0.0.0 b93.cnzz.com
0.0.0.0 b94.cnzz.com
0.0.0.0 b95.cnzz.com
0.0.0.0 background.cnzz.com
0.0.0.0 bbs.cnzz.com
0.0.0.0 bbs1.cnzz.com
0.0.0.0 bd.cnzz.com
0.0.0.0 blog.cnzz.com
0.0.0.0 c.cnzz.com
0.0.0.0 cache.adm.cnzz.net
0.0.0.0 cache.cnzz.com
0.0.0.0 cas.cnzz.com
0.0.0.0 ccm.cnzz.com
0.0.0.0 click.am1.adm.cnzz.net
0.0.0.0 click.cnzz.com
0.0.0.0 clickjs.cnzz.com
0.0.0.0 cnzztest.cnzz.com
0.0.0.0 daima.cnzz.com
0.0.0.0 data.cnzz.com
0.0.0.0 dataso.cnzz.com
0.0.0.0 dcenter.cnzz.com
0.0.0.0 diancan.cnzz.com
0.0.0.0 dns.cnzz.com
0.0.0.0 doc.cnzz.com
0.0.0.0 down.cnzz.com
0.0.0.0 down11.cnzz.com
0.0.0.0 g16.cnzz.com
0.0.0.0 go.cnzz.com
0.0.0.0 googleffffffffd4748891.cnzz.com
0.0.0.0 help.cnzz.com
0.0.0.0 hqs1.cnzz.com
0.0.0.0 hqs4.cnzz.com
0.0.0.0 hqs9.cnzz.com
0.0.0.0 hzs10.cnzz.com
0.0.0.0 hzs12.cnzz.com
0.0.0.0 hzs13.cnzz.com
0.0.0.0 hzs14.cnzz.com
0.0.0.0 hzs8.cnzz.com
0.0.0.0 hzs9.cnzz.com
0.0.0.0 icon.cnzz.com
0.0.0.0 igroup1.cnzz.com
0.0.0.0 iliuyan.cnzz.com
0.0.0.0 imcnzz.cnzz.com
0.0.0.0 imf.cnzz.com
0.0.0.0 img.cnzz.com
0.0.0.0 info.cnzz.com
0.0.0.0 intf.cnzz.com
0.0.0.0 iuc.cnzz.com
0.0.0.0 jiaoliu.cnzz.com
0.0.0.0 js.adm.cnzz.net
0.0.0.0 ku6.cnzz.com
0.0.0.0 liuyan.cnzz.com
0.0.0.0 mail.cnzz.com
0.0.0.0 new.cnzz.com
0.0.0.0 newhua.cnzz.com
0.0.0.0 newstat.cnzz.com
0.0.0.0 ns1.cnzz.com
0.0.0.0 ns2.cnzz.com
0.0.0.0 online.cnzz.com
0.0.0.0 pw.cnzz.com
0.0.0.0 pwmail.cnzz.com
0.0.0.0 pxe.cnzz.com
0.0.0.0 qjtest.cnzz.com
0.0.0.0 qs1.cnzz.com
0.0.0.0 qs2.cnzz.com
0.0.0.0 qs3.cnzz.com
0.0.0.0 qs4.cnzz.com
0.0.0.0 qs7.cnzz.com
0.0.0.0 quanjing.cnzz.com
0.0.0.0 rd.cnzz.com
0.0.0.0 rd1.cnzz.com
0.0.0.0 s1.cnzz.com
0.0.0.0 s10.cnzz.com
0.0.0.0 s100.cnzz.com
0.0.0.0 s101.cnzz.com
0.0.0.0 s102.cnzz.com
0.0.0.0 s103.cnzz.com
0.0.0.0 s104.cnzz.com
0.0.0.0 s105.cnzz.com
0.0.0.0 s106.cnzz.com
0.0.0.0 s107.cnzz.com
0.0.0.0 s108.cnzz.com
0.0.0.0 s109.cnzz.com
0.0.0.0 s11.cnzz.com
0.0.0.0 s110.cnzz.com
0.0.0.0 s111.cnzz.com
0.0.0.0 s112.cnzz.com
0.0.0.0 s113.cnzz.com
0.0.0.0 s114.cnzz.com
0.0.0.0 s115.cnzz.com
0.0.0.0 s116.cnzz.com
0.0.0.0 s117.cnzz.com
0.0.0.0 s118.cnzz.com
0.0.0.0 s119.cnzz.com
0.0.0.0 s12.cnzz.com
0.0.0.0 s120.cnzz.com
0.0.0.0 s121.cnzz.com
0.0.0.0 s122.cnzz.com
0.0.0.0 s123.cnzz.com
0.0.0.0 s124.cnzz.com
0.0.0.0 s125.cnzz.com
0.0.0.0 s126.cnzz.com
0.0.0.0 s127.cnzz.com
0.0.0.0 s128.cnzz.com
0.0.0.0 s129.cnzz.com
0.0.0.0 s13.cnzz.com
0.0.0.0 s130.cnzz.com
0.0.0.0 s131.cnzz.com
0.0.0.0 s132.cnzz.com
0.0.0.0 s133.cnzz.com
0.0.0.0 s134.cnzz.com
0.0.0.0 s135.cnzz.com
0.0.0.0 s136.cnzz.com
0.0.0.0 s137.cnzz.com
0.0.0.0 s138.cnzz.com
0.0.0.0 s139.cnzz.com
0.0.0.0 s14.cnzz.com
0.0.0.0 s140.cnzz.com
0.0.0.0 s141.cnzz.com
0.0.0.0 s142.cnzz.com
0.0.0.0 s15.cnzz.com
0.0.0.0 s16.cnzz.com
0.0.0.0 s17.cnzz.com
0.0.0.0 s175.cnzz.com
0.0.0.0 s18.cnzz.com
0.0.0.0 s19.cnzz.com
0.0.0.0 s2.cnzz.com
0.0.0.0 s20.cnzz.com
0.0.0.0 s21.cnzz.com
0.0.0.0 s22.cnzz.com
0.0.0.0 s23.cnzz.com
0.0.0.0 s24.cnzz.com
0.0.0.0 s25.cnzz.com
0.0.0.0 s26.cnzz.com
0.0.0.0 s27.cnzz.com
0.0.0.0 s28.cnzz.com
0.0.0.0 s29.cnzz.com
0.0.0.0 s3.cnzz.com
0.0.0.0 s30.cnzz.com
0.0.0.0 s31.cnzz.com
0.0.0.0 s32.cnzz.com
0.0.0.0 s33.cnzz.com
0.0.0.0 s34.cnzz.com
0.0.0.0 s35.cnzz.com
0.0.0.0 s36.cnzz.com
0.0.0.0 s37.cnzz.com
0.0.0.0 s38.cnzz.com
0.0.0.0 s39.cnzz.com
0.0.0.0 s4.cnzz.com
0.0.0.0 s40.cnzz.com
0.0.0.0 s41.cnzz.com
0.0.0.0 s42.cnzz.com
0.0.0.0 s43.cnzz.com
0.0.0.0 s44.cnzz.com
0.0.0.0 s45.cnzz.com
0.0.0.0 s46.cnzz.com
0.0.0.0 s47.cnzz.com
0.0.0.0 s48.cnzz.com
0.0.0.0 s49.cnzz.com
0.0.0.0 s5.cnzz.com
0.0.0.0 s50.cnzz.com
0.0.0.0 s51.cnzz.com
0.0.0.0 s52.cnzz.com
0.0.0.0 s53.cnzz.com
0.0.0.0 s54.cnzz.com
0.0.0.0 s55.cnzz.com
0.0.0.0 s56.cnzz.com
0.0.0.0 s57.cnzz.com
0.0.0.0 s58.cnzz.com
0.0.0.0 s59.cnzz.com
0.0.0.0 s6.cnzz.com
0.0.0.0 s60.cnzz.com
0.0.0.0 s61.cnzz.com
0.0.0.0 s62.cnzz.com
0.0.0.0 s63.cnzz.com
0.0.0.0 s64.cnzz.com
0.0.0.0 s65.cnzz.com
0.0.0.0 s66.cnzz.com
0.0.0.0 s67.cnzz.com
0.0.0.0 s68.cnzz.com
0.0.0.0 s69.cnzz.com
0.0.0.0 s7.cnzz.com
0.0.0.0 s70.cnzz.com
0.0.0.0 s71.cnzz.com
0.0.0.0 s72.cnzz.com
0.0.0.0 s73.cnzz.com
0.0.0.0 s74.cnzz.com
0.0.0.0 s75.cnzz.com
0.0.0.0 s76.cnzz.com
0.0.0.0 s77.cnzz.com
0.0.0.0 s78.cnzz.com
0.0.0.0 s79.cnzz.com
0.0.0.0 s8.cnzz.com
0.0.0.0 s80.cnzz.com
0.0.0.0 s81.cnzz.com
0.0.0.0 s82.cnzz.com
0.0.0.0 s83.cnzz.com
0.0.0.0 s84.cnzz.com
0.0.0.0 s85.cnzz.com
0.0.0.0 s86.cnzz.com
0.0.0.0 s87.cnzz.com
0.0.0.0 s88.cnzz.com
0.0.0.0 s89.cnzz.com
0.0.0.0 s9.cnzz.com
0.0.0.0 s90.cnzz.com
0.0.0.0 s91.cnzz.com
0.0.0.0 s92.cnzz.com
0.0.0.0 s93.cnzz.com
0.0.0.0 s94.cnzz.com
0.0.0.0 s95.cnzz.com
0.0.0.0 s96.cnzz.com
0.0.0.0 s97.cnzz.com
0.0.0.0 s98.cnzz.com
0.0.0.0 s99.cnzz.com
0.0.0.0 search.cnzz.com
0.0.0.0 shop.cnzz.com
0.0.0.0 si1.cnzz.com
0.0.0.0 sitedb.cnzz.com
0.0.0.0 stat.cnzz.com
0.0.0.0 time.cnzz.com
0.0.0.0 tool.cnzz.com
0.0.0.0 union.cnzz.com
0.0.0.0 unionadmin.cnzz.com
0.0.0.0 updateimcnzz.cnzz.com
0.0.0.0 v1.cnzz.com
0.0.0.0 v10.cnzz.com
0.0.0.0 v11.cnzz.com
0.0.0.0 v12.cnzz.com
0.0.0.0 v13.cnzz.com
0.0.0.0 v14.cnzz.com
0.0.0.0 v2.cnzz.com
0.0.0.0 v3.cnzz.com
0.0.0.0 v4.cnzz.com
0.0.0.0 v5.cnzz.com
0.0.0.0 v6.cnzz.com
0.0.0.0 v7.cnzz.com
0.0.0.0 v8.cnzz.com
0.0.0.0 v9.cnzz.com
0.0.0.0 w.cnzz.com
0.0.0.0 wss.cnzz.com
0.0.0.0 www.cnzz.com
0.0.0.0 zs1.cnzz.com
0.0.0.0 zs10.cnzz.com
0.0.0.0 zs11.cnzz.com
0.0.0.0 zs12.cnzz.com
0.0.0.0 zs13.cnzz.com
0.0.0.0 zs14.cnzz.com
0.0.0.0 zs15.cnzz.com
0.0.0.0 zs16.cnzz.com
0.0.0.0 zs2.cnzz.com
0.0.0.0 zs25.cnzz.com
0.0.0.0 zs3.cnzz.com
0.0.0.0 zs4.cnzz.com
0.0.0.0 zs5.cnzz.com
0.0.0.0 zs6.cnzz.com
0.0.0.0 zs7.cnzz.com
0.0.0.0 zs8.cnzz.com
0.0.0.0 zs9.cnzz.com
0.0.0.0 zvs1.cnzz.com
0.0.0.0 zvs2.cnzz.com
0.0.0.0 zzdh.cnzz.com
0.0.0.0 tui.cnzz.net
#Goingup
0.0.0.0 counter.goingup.com
0.0.0.0 www.goingup.com
#Haodianpu
0.0.0.0 tblog.tj.haodianpu.com
0.0.0.0 tongji.haodianpu.com
0.0.0.0 www.haodianpu.com
#HeroClick
0.0.0.0 union.heroclick.cn
0.0.0.0 p.heroclick.cn
0.0.0.0 st.heroclick.cn
0.0.0.0 www.heroclick.cn
#Jiankongbao
0.0.0.0 exp.jiankongbao.com
0.0.0.0 stat.jiankongbao.com
#Linezing
0.0.0.0 acookie.linezing.com
0.0.0.0 data.taobao.linezing.com
0.0.0.0 dt.tongji.linezing.com
0.0.0.0 hidden-master.linezing.com
0.0.0.0 hostmaster.linezing.com
0.0.0.0 hotclick.app.linezing.com
0.0.0.0 img.tongji.linezing.com
0.0.0.0 js.tongji.linezing.com
0.0.0.0 linezing.com
0.0.0.0 p3p.linezing.com
0.0.0.0 pimg.taobao.linezing.com
0.0.0.0 post.taobao.linezing.com
0.0.0.0 taobao.linezing.com
0.0.0.0 tongji.linezing.com
0.0.0.0 www.linezing.com
#Soua
0.0.0.0 code1.soua.com
0.0.0.0 code2.soua.com
0.0.0.0 code3.soua.com
0.0.0.0 www.soua.com
0.0.0.0 union.soua.com
#Ê¢´óÍ³¼Æ
0.0.0.0 adrs.sdo.com
0.0.0.0 bf.snyu.sdo.com
0.0.0.0 bh.snyu.sdo.com
0.0.0.0 c.0fb00c0e57.sdo.com
0.0.0.0 c.aa.sdo.com
0.0.0.0 dwtracking.sdo.com
0.0.0.0 feo.staticsdo.com
0.0.0.0 g.0fb00c0e57.sdo.com
0.0.0.0 g.aa.sdo.com
0.0.0.0 ibw.sdo.com
0.0.0.0 sda.ibw.sdo.com
0.0.0.0 stat.aa.sdo.com
0.0.0.0 stat.sdo.com
0.0.0.0 static.ex.ibw.sdo.com
0.0.0.0 zytt.0fb00c0e57.sdo.com
0.0.0.0 de.ap.snyu.com
0.0.0.0 hot.snyu.com
0.0.0.0 js.ap.snyu.com
0.0.0.0 pic.snyu.com
0.0.0.0 r.snyu.com
0.0.0.0 res.m.snyu.com
0.0.0.0 rr.ap.snyu.com
0.0.0.0 doubleclick.igalive.com
0.0.0.0 ipagent.igalive.com
0.0.0.0 js.igalive.com
0.0.0.0 resource.igalive.com
#Wrating
0.0.0.0 163.wrating.com
0.0.0.0 ads.wrating.com
0.0.0.0 ahtv.wrating.com
0.0.0.0 aweb.wrating.com
0.0.0.0 baidu.wrating.com
0.0.0.0 bbs.wrating.com
0.0.0.0 brand.wrating.com
0.0.0.0 c.wrating.com
0.0.0.0 cctv.wrating.com
0.0.0.0 china.wrating.com
0.0.0.0 chinacar.wrating.com
0.0.0.0 chinanews.wrating.com
0.0.0.0 click.wrating.com
0.0.0.0 client.wrating.com
0.0.0.0 cmsn.wrating.com
0.0.0.0 cnhubei.wrating.com
0.0.0.0 cri.wrating.com
0.0.0.0 cyol.wrating.com
0.0.0.0 eachnet.wrating.com
0.0.0.0 enet.wrating.com
0.0.0.0 g.wrating.com
0.0.0.0 g0.wrating.com
0.0.0.0 gc.wrating.com
0.0.0.0 glog.wrating.com
0.0.0.0 gmsn.wrating.com
0.0.0.0 hexun.wrating.com
0.0.0.0 hifly.wrating.com
0.0.0.0 it168.wrating.com
0.0.0.0 msn.wrating.com
0.0.0.0 msnc.wrating.com
0.0.0.0 ns.wrating.com
0.0.0.0 ns1.wrating.com
0.0.0.0 people.wrating.com
0.0.0.0 pscn.wrating.com
0.0.0.0 qihoo.wrating.com
0.0.0.0 qq.wrating.com
0.0.0.0 redirect.wrating.com
0.0.0.0 shonline.wrating.com
0.0.0.0 sina.wrating.com
0.0.0.0 sohu.wrating.com
0.0.0.0 sp.wrating.com
0.0.0.0 survey.wrating.com
0.0.0.0 sz.wrating.com
0.0.0.0 szxk.wrating.com
0.0.0.0 t.wrating.com
0.0.0.0 t1.wrating.com
0.0.0.0 t10.wrating.com
0.0.0.0 t2.wrating.com
0.0.0.0 t3.wrating.com
0.0.0.0 t4.wrating.com
0.0.0.0 t6.wrating.com
0.0.0.0 t7.wrating.com
0.0.0.0 t8.wrating.com
0.0.0.0 t9.wrating.com
0.0.0.0 taiwan.wrating.com
0.0.0.0 tom.wrating.com
0.0.0.0 tongji.wrating.com
0.0.0.0 vodone.wrating.com
0.0.0.0 www.wrating.com
0.0.0.0 xinmin.wrating.com
0.0.0.0 ztqq.wrating.com
#Zhanzhang
0.0.0.0 js.zhanzhang.net
0.0.0.0 p.zhanzhang.net
0.0.0.0 s1.zhanzhang.net
0.0.0.0 s2.zhanzhang.net
0.0.0.0 s3.zhanzhang.net
#Statistics
0.0.0.0 icon.ajiang.net
0.0.0.0 popstat.pppop.cn
0.0.0.0 static.getclicky.com
0.0.0.0 static.woopra.com
0.0.0.0 static.zoomino.cn
0.0.0.0 stats.norton.com
0.0.0.0 track.did-it.com
0.0.0.0 vip1.1tong.com.cn
0.0.0.0 www.nasboq.com
0.0.0.0 www.referer.cn
0.0.0.0 www.zzcount.com
0.0.0.0 zjomo2.app9.hubspot.com
