@HostsX 海外站点广告
0.0.0.0 pv.zdnet.com.cn
0.0.0.0 tracker.zdnet.com.au
#ABCNews
0.0.0.0 Adsatt.ABCNews.starwave.com
0.0.0.0 adsatt.disney.starwave.com
0.0.0.0 adsatt.espn.starwave.com
0.0.0.0 adsatt.familyfun.starwave.com
0.0.0.0 adsatt.go.starwave.com
0.0.0.0 adsatt.movies.starwave.com
0.0.0.0 adsintl.starwave.com
0.0.0.0 espn-ak.starwave.com
0.0.0.0 odc.starwave.com
0.0.0.0 3ps.go.com
0.0.0.0 ad.go.com
0.0.0.0 adimages.go.com
0.0.0.0 dcapps.disney.go.com
0.0.0.0 adsatt.espn.go.com
0.0.0.0 log.go.com
0.0.0.0 ngads.go.com
0.0.0.0 oascentral.abclocal.go.com
0.0.0.0 seavideo-ak.espn.go.com
0.0.0.0 w88.go.com
#Anyway.com.tw
0.0.0.0 ad.anyway.com.tw
0.0.0.0 advertisement.anyway.com.tw
#AOL
0.0.0.0 ads.aol.co.uk
0.0.0.0 adserver.aol.fr
0.0.0.0 ads.newline.aol.com
0.0.0.0 ads.web.aol.com
0.0.0.0 advertising.aol.com
0.0.0.0 affiliate.aol.com
0.0.0.0 dynamic.aol.com
0.0.0.0 free.aol.com
0.0.0.0 o.sa.aol.com
0.0.0.0 s.sa.aol.com
0.0.0.0 37.adsonar.com
0.0.0.0 ads.adsonar.com
0.0.0.0 ads.tw.adsonar.com
0.0.0.0 adsonar.com
0.0.0.0 foxnews.adsonar.com
0.0.0.0 js.adsonar.com
0.0.0.0 newsletter.adsonar.com
0.0.0.0 redir.adsonar.com
0.0.0.0 ads.patch.com
0.0.0.0 ar.atwola.com
0.0.0.0 ar1.atwola.com
0.0.0.0 ar7.atwola.com
0.0.0.0 ar9.atwola.com
0.0.0.0 at.atwola.com
0.0.0.0 atwola.com
0.0.0.0 cdn.at.atwola.com
0.0.0.0 cdn.atwola.com
0.0.0.0 pr.atwola.com
0.0.0.0 ads.intergi.com
0.0.0.0 glb.adtechus.com
0.0.0.0 ng3.ads.warnerbros.com
#Ap.org
0.0.0.0 ads.mm.ap.org
0.0.0.0 oascentral.hosted.ap.org
0.0.0.0 te.ap.org
0.0.0.0 ads.dixcom.com
0.0.0.0 ap.search.theplatform.com
#BBC
0.0.0.0 external.bbc.co.uk
0.0.0.0 stats.bbc.co.uk
0.0.0.0 visualscience.external.bbc.co.uk
#Bigmir
0.0.0.0 ad0.bigmir.net
0.0.0.0 ad1.bigmir.net
0.0.0.0 ad4.bigmir.net
0.0.0.0 ad5.bigmir.net
0.0.0.0 ad6.bigmir.net
0.0.0.0 ad7.bigmir.net
0.0.0.0 adi.bigmir.net
0.0.0.0 c.bigmir.net
0.0.0.0 i.bigmir.net
#Chinatimes
0.0.0.0 ad.cyberone.com.tw
0.0.0.0 admanager.cyberone.com.tw
0.0.0.0 marketing.chinatimes.com
#Chip
0.0.0.0 adx.chip.de
#Chosun
0.0.0.0 adimg1.chosun.com
0.0.0.0 cad.chosun.com
0.0.0.0 hitlog2.chosun.com
#CNN
0.0.0.0 ads.cnn.com
0.0.0.0 cnn.dyn.cnn.com
0.0.0.0 customad.cnn.com
0.0.0.0 gdyn.cnn.com
0.0.0.0 i.l.cnn.net
0.0.0.0 metrics.cnn.com
#Discovery
0.0.0.0 ads.discovery.com
0.0.0.0 omnikool.discovery.com
#GoGoBox
0.0.0.0 ads.pics.gogobox.com.tw
0.0.0.0 advs.gogobox.com.tw
0.0.0.0 event.gogobox.com.tw
#Hinet
0.0.0.0 adasad.myweb.hinet.net
0.0.0.0 blogad01.myweb.hinet.net
0.0.0.0 blogad02.myweb.hinet.net
#Intel
0.0.0.0 syndication.intel.com
0.0.0.0 www.cnetdirectintl.com
0.0.0.0 www91.intel.com
#Lycos News
0.0.0.0 adbuyer3.lycos.com
0.0.0.0 ads.lycos.com
0.0.0.0 ads.tripod.lycos.co.uk
0.0.0.0 ads.tripod.lycos.de
0.0.0.0 ads.tripod.lycos.es
0.0.0.0 ads.tripod.lycos.nl
0.0.0.0 advertising.lycos.com
0.0.0.0 client.sidesearch.lycos.com
0.0.0.0 cm8.lycos.com
0.0.0.0 fe.lea.lycos.co.uk
0.0.0.0 guestworld.tripod.lycos.com
0.0.0.0 hit.webcentre.lycos.co.uk
0.0.0.0 install.sidesearch.lycos.com
0.0.0.0 oascentral.lycos.com
0.0.0.0 ratings.lycos.com
0.0.0.0 titan.guestworld.tripod.lycos.com
#Myspace
0.0.0.0 advertise.myspace.com
0.0.0.0 delb.myspace.com
0.0.0.0 delb2.myspace.com
0.0.0.0 demr.myspace.com
0.0.0.0 fimserve.myspace.com
0.0.0.0 nb.myspace.com
0.0.0.0 count.myspace.cn
0.0.0.0 gg.un.myspace.cn
#Nownews
0.0.0.0 ad1.nownews.com
#Pchome
0.0.0.0 adcl.pchome.com.tw
0.0.0.0 pic.adver.com.tw
#Pixnet
0.0.0.0 ad.pixnet.in
0.0.0.0 ad.pixnet.net
#Playboy
0.0.0.0 pei-ads.playboy.com
#Pixiv
0.0.0.0 img.ads.pixiv.org
0.0.0.0 serv.ads.pixiv.org
#SecretChina
0.0.0.0 ad.secretchina.com
0.0.0.0 static1.secretchina.com
0.0.0.0 a.epochtimes.com
0.0.0.0 ad.epochtimes.com
#Udn
0.0.0.0 ad1.udn.com
0.0.0.0 ad2.udn.com
0.0.0.0 ad3.udn.com
0.0.0.0 ad4.udn.com
#Yam
0.0.0.0 ad.blog.yam.com
0.0.0.0 ad2.yam.com
0.0.0.0 admd.yam.com
0.0.0.0 ads.yam.com
0.0.0.0 rec.n.yam.com
0.0.0.0 yam.adsbro.com
#Taiwan
0.0.0.0 a.jojos.tw
0.0.0.0 ad.cacafly.com
0.0.0.0 ad.funp.com
0.0.0.0 ad.hiiir.com
0.0.0.0 ad.jamba.net
0.0.0.0 ad.jamster.co.uk
0.0.0.0 ad.sitemaji.com
0.0.0.0 ad.obuy.tw
0.0.0.0 ad.snsplus.com
0.0.0.0 ad.sogi.com.tw
0.0.0.0 ads.citytalk.tw
0.0.0.0 ads.doublemax.net
0.0.0.0 ads.fetnet.net
0.0.0.0 ads.ign.com
0.0.0.0 ads.miniclip.com
0.0.0.0 ads.ttv.com.tw
0.0.0.0 drd.hauchi.com.tw
